Name,Stars,Short Comments,DatedText,Reviews,Helpfull
Amazon Customer,4.0 out of 5 stars,Four Stars,7 September 2017,Good 1,Helpful
Rajarathinam T,5.0 out of 5 stars,Five Stars,10 March 2017,Very nice product for pimple prone face..,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,25 February 2018,Very nice I liked it so much,Helpful
Jaydeep,5.0 out of 5 stars,Great product,5 July 2018,Great,Helpful
Pravin,5.0 out of 5 stars,Good product,20 August 2018,Very low price,Helpful
Priyanshu,5.0 out of 5 stars,Five Stars,7 April 2018,V good,Helpful
Shamla,4.0 out of 5 stars,Nice product,22 October 2018,Good,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,10 October 2017,Nice product,Helpful
SUJIT,2.0 out of 5 stars,Useless!,28 June 2015,Guys i'm begin 100% honest about this reviewi bought this face wash it gives a good herbal neem smell but to be honest it doesn't work for teenagers having acne and pimples problemsi have only less acne and less pimples but it couldn't even get rid of any of them.it doesn't leave your skin dry but removes oil TEMPORARILY oil comes back within a few hours.I used it for 3 weeks and nothing workedinstead guys i recommend you to use NEUTORGENA OIL CLEAR ACNE FACE WASHits awsome it has visible results from day 1.SHORT AND SWEET DONT BUY HIMALAYA NEEM FACE WASHits USESLESS 100%,2 people found this helpful
Gaurav,5.0 out of 5 stars,Five Stars,17 October 2017,Nice... Value for money,Helpful
Babai saha,5.0 out of 5 stars,Five Stars,26 October 2017,I am happy,Helpful
m,4.0 out of 5 stars,Four Stars,13 October 2017,good,Helpful
tanuja,5.0 out of 5 stars,In love with this product,30 October 2015,In love with this product. Really good for oily skin. Use twice a day especially before sleeping. User friendly!,Helpful
Mohd Meraj,5.0 out of 5 stars,Osm,20 October 2017,Osm product???,Helpful
Durga,5.0 out of 5 stars,worth for money,24 April 2016,I have this product..good one...,One person found this helpful
Sanjay kumar,2.0 out of 5 stars,Two Stars,22 January 2018,Good prodect...,Helpful
D SRINIVAS-PPUR,5.0 out of 5 stars,Five Stars,12 October 2017,good,Helpful
Akhilesh pippal,4.0 out of 5 stars,Good choice,27 September 2017,Nice product time pr delivery,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,9 November 2017,Nice...,Helpful
Poonam patel,5.0 out of 5 stars,Five Stars,9 October 2017,Very useful,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,8 September 2017,Awesome,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,8 October 2017,Excellent product,Helpful
Shivam,4.0 out of 5 stars,Four Stars,10 November 2017,Good,Helpful
BIJU B,4.0 out of 5 stars,Nice product,26 October 2016,Very good product.Value for money.perfect for daily use!!!,Helpful
sancia,5.0 out of 5 stars,Best fof acne prone skin,7 May 2017,Best face wash ever for acne prone skin in India.. I've tried almost every product available in the market ..but this product could drastically reduce my cystic acne .Must try,3 people found this helpful
Jayant Rao,3.0 out of 5 stars,Three Stars,11 November 2017,ok,Helpful
Dipu narang,5.0 out of 5 stars,Five Stars,11 November 2017,I love it,Helpful
jeetendra garg,4.0 out of 5 stars,I like,2 December 2015,very very gud prodect..I like it,Helpful
JITENDRA KUMAR PANDEY,4.0 out of 5 stars,Four Stars,30 August 2015,Good for regular use....,Helpful
Amazon Customer,5.0 out of 5 stars,THE FIRST,29 February 2016,Dear friends I have been using the product since from my college days. My skin had more pimples n the marks also. I still remember well this was the first neem face wash in the market.And the company themselves first introduced with this face wash only. As all of your sayings for the first week of usage you will not get result  because it's not like other chemical products which shows immediate effect and spoilt the skin.As a user of over 7 years I am the good example of this great product. It reacts slowly but the results are permanent.,Helpful
Amazon Customer,5.0 out of 5 stars,and my skin used to be nice..,29 April 2016,I used to use this face wash earlier...and my skin used to be nice...my acne used to be in control...i switched to other face washes later just for trial purpose....i tried neutrogena...body shop...ponds....my acne never got under control...and i had to wear makeup daily...but a few days back....i bought this back...and s*** it hasnt even been 4 days...and my skin feels amazing...it has never felt so good in all these months...it is cost effective and ...keeps your acne under control...i was so overwhelmed couldn't even wait to review this product.,Helpful
KARTHIKEYAN.B,5.0 out of 5 stars,thanks,17 July 2014,nice product I am always believe himalaya product is nice one thanks mate for this great herbal product from India,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,23 June 2015,Best available face wash for a clear pimple free skin...,Helpful
Amazon Customer,5.0 out of 5 stars,Great product.,9 December 2015,The product us really good. Really good for those who hv acne.,Helpful
Arindam Dey,5.0 out of 5 stars,Five Stars,12 June 2016,That is a good product...,Helpful
Amazon Customer,1.0 out of 5 stars,One Star,24 November 2016,Does not clear face,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,21 December 2016,Good product.,Helpful
Amazon Customer,5.0 out of 5 stars,It deserve 5star,10 June 2016,It's really effective,Helpful
sumit,4.0 out of 5 stars,Average,9 December 2015,Thik hai,Helpful
hyndhavi,5.0 out of 5 stars,really good,20 April 2014,I have oily skin and i use this face wash regularly. It doesn't leave my skin dry alike many other face washes. It texture is like gel and smells good,2 people found this helpful
Swati,5.0 out of 5 stars,Five Stars,8 April 2015,Work very well,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,24 November 2015,i like it,Helpful
kkguin,5.0 out of 5 stars,Verry good,30 July 2015,Very good produced.,Helpful
teja,5.0 out of 5 stars,Five Stars,11 July 2015,nice product,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,4 February 2016,Good,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,18 October 2015,Nice one,Helpful
k saisantosh,5.0 out of 5 stars,Five Stars,19 August 2015,Good,Helpful
sapna rao,4.0 out of 5 stars,Decent daily use facewash. (Not a pimple inhibitor :) ),25 August 2015,This face wash may not prevent pimples nor it would diminish the existing ones. However I like this face wash since it is budget friendly it does not irritate sensitive skin. It is mild and has a soothing refreshing feel after washing the face. The face wash with neem is good for both oily /normal or dry skin. I would suggest others to use this facewash as it does not have any cons.,4 people found this helpful
Ritu Vaish,5.0 out of 5 stars,Five Stars,9 August 2017,Always 5 star product,Helpful
Amazon Customer,1.0 out of 5 stars,One Star,10 August 2016,The mrp of the product is rs 150 based on the product eing sold in health and glow.,2 people found this helpful
Amazon Customer,1.0 out of 5 stars,One Star,8 October 2017,neem face wash the top cover is broken and Dove shampoo bottle is liced,One person found this helpful
Amazon Customer,1.0 out of 5 stars,One Star,16 January 2017,Bekarr hai me bhoht saal se use kr rahi thi ab nahi koi result nahi dikha,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,27 October 2016,LOVE this product,Helpful
Amazon Customer,1.0 out of 5 stars,no use,31 October 2015,Not at all use full,Helpful
Amazon Customer,1.0 out of 5 stars,One Star,17 July 2016,waste,One person found this helpful
Amazon Customer,1.0 out of 5 stars,One Star,24 November 2016,Thought of buying this prooduct.... but guyz just see the pricing... more than mrp.. ie.Rs824/-. Ridiculous.,Helpful
Samarpita,5.0 out of 5 stars,I love it. Thank you Himalaya for giving such a best product & thanks amazon for fast & well packaged delivery.,3 September 2017,I grabbed it from amazon lighting deal at price 150/-It very nice product.Suitable for all skin types.& most important thing is its works on your skin for prevents pimple & oily ness.,One person found this helpful
Aditya Sharma,5.0 out of 5 stars,Amazon is incredible...,15 July 2017,Bought it on prime day sale for just ?170.00. Perfect condition. Loved it.. It's of course a good quality product. Expiry date 04/2020,One person found this helpful
S.das,5.0 out of 5 stars,All in all season best facewash,30 October 2017,Excellent product i buy 2 facewash .i am using this facewash for 5yrs continuously my family favourites facewash i buy this 1 unit Rs230x2=460 and including 28%IGST Rs180 is main price 1unit and GST is Rs100.If the price will Rs200 it will full on rock facewash than .but over all great product and good delivery .,One person found this helpful
Saloni,5.0 out of 5 stars,Five Stars,6 January 2018,Very good product,2 people found this helpful
Imran Mallick,5.0 out of 5 stars,Best by a wide margin,7 September 2017,The best face wash by a wide margin trust me I have used various branded face wash but this one stand tall at the face of all I am no longer suffering from a patchy or oily skin anymore.,One person found this helpful
Om Prakash,5.0 out of 5 stars,Grabbed On Prime Day Sale  Discounted Than MRP,26 July 2017,Got It Around @175 #PrimeDayEffect,2 people found this helpful
Amazon Customer,1.0 out of 5 stars,Hugge disappointment,7 April 2018,V bad..makes skin v dull n dry..any basic facewash is expected to give some glow n shine..but this has done opposite to my face..I face looked dulll dark n dry on using this..had to stop using this after one day of use,Helpful
Mahendra,5.0 out of 5 stars,Best Face wash ever,30 December 2016,Full five stars for this product.I've gone through at least 10 200ml bottles and I'm hoping Himalaya sticks to the formula and doesn't reformulate with cheaper constituents for more profit.,One person found this helpful
Mehraj,4.0 out of 5 stars,Four Stars,24 August 2017,Using first time I got pimples but after sometime it reduced. Now using regularly,One person found this helpful
ANIRUDDHA,5.0 out of 5 stars,... Rs127 where MRP is 180 and also it is good product.,12 September 2017,I bought at only Rs127 where MRP is 180 and also it is good product.,One person found this helpful
Amazon Customer,2.0 out of 5 stars,Not for the oily skin!,5 August 2017,Did not like it. Does not remove oil from face. And feels like does not properly remove dirt etc.,One person found this helpful
badal nanda,5.0 out of 5 stars,Good product,11 May 2017,Within a week facial glow increases tremendously..this face wash really suits my skin and my all pimples vanish in just 2 weeks,One person found this helpful
Magnolia,5.0 out of 5 stars,Have always loved this facewash,21 April 2016,Have always loved this facewash its mild but gives a great cleanse. My husband has oily skin and is very prone to acne. After trying several brands this facewash has really suited him and even reduced the acne.,Helpful
